countryorigin,countrydestination,origlon,origlat,destlon,destlat,Year,flights
Senegal,Belgium,-14.50980278585943,14.354139988452022,4.580834113854935,50.65244095902296,2019,24632
Canada,France,-98.14238137209708,61.46907614534896,-2.8766966992706267,42.46070432663372,2019,65285
United States of America,Iceland,-112.5994359115045,45.70562800215178,-18.761028770831768,65.07427633529105,2019,5224
India,Qatar,79.59370376325381,22.92500640740852,51.1835025789133,25.32185097420669,2019,12321
United Arab Emirates,France,54.20671476159633,23.86863365334761,-2.8766966992706267,42.46070432663372,2019,65285
Spain,Qatar,-3.6170206023873743,40.348656106226734,51.1835025789133,25.32185097420669,2019,12321
New Zealand,Australia,172.70192594405574,-41.66257875715869,134.50277547536595,-25.73065477972608,2019,11372
Ukraine,Qatar,31.22912207026649,49.14882260840351,51.1835025789133,25.32185097420669,2019,12321
Canada,Greece,-98.14238137209708,61.46907614534896,22.719813447095053,39.06671589971396,2019,24004
Sweden,Qatar,16.59626584684802,62.811484968080336,51.1835025789133,25.32185097420669,2019,12321
Canada,Germany,-98.14238137209708,61.46907614534896,10.288485092742851,51.13372269040778,2019,113196
Portugal,United States of America,-8.055765588295687,39.63404977497817,-112.5994359115045,45.70562800215178,2019,86817
Latvia,Israel,24.83329614980344,56.80717513427924,35.003851206429005,31.4849193900197,2019,8507
Turkey,United Arab Emirates,35.116900150938406,39.06837194061471,54.20671476159633,23.86863365334761,2019,24319
Greece,Germany,22.719813447095053,39.06671589971396,10.288485092742851,51.13372269040778,2019,113196
Senegal,Spain,-14.50980278585943,14.354139988452022,-3.6170206023873743,40.348656106226734,2019,70367
Spain,Ukraine,-3.6170206023873743,40.348656106226734,31.22912207026649,49.14882260840351,2019,7074
France,Iceland,-2.8766966992706267,42.46070432663372,-18.761028770831768,65.07427633529105,2019,5224
United Kingdom,Malaysia,-2.8531353951805545,53.91477348053706,109.6981484486297,3.725588425773716,2019,9940
United Arab Emirates,Germany,54.20671476159633,23.86863365334761,10.288485092742851,51.13372269040778,2019,113196
United States of America,Spain,-112.5994359115045,45.70562800215178,-3.6170206023873743,40.348656106226734,2019,70367
Greece,Netherlands,22.719813447095053,39.06671589971396,5.512217100965399,52.298700374441786,2019,38218
Italy,Qatar,12.140788372235871,42.751183052964265,51.1835025789133,25.32185097420669,2019,12321
United Arab Emirates,Netherlands,54.20671476159633,23.86863365334761,5.512217100965399,52.298700374441786,2019,38218
Austria,United Arab Emirates,14.076158884337072,47.6139487927463,54.20671476159633,23.86863365334761,2019,24319
Brazil,South Africa,-53.05434003576711,-10.806773643498916,25.04801387986168,-28.947033259979115,2019,2883
Switzerland,Brazil,8.118300613385486,46.79173768366762,-53.05434003576711,-10.806773643498916,2019,5919
Switzerland,South Africa,8.118300613385486,46.79173768366762,25.04801387986168,-28.947033259979115,2019,2883
United States of America,Ireland,-112.5994359115045,45.70562800215178,-8.010236544877012,53.18059120995006,2019,28478
Italy,Israel,12.140788372235871,42.751183052964265,35.003851206429005,31.4849193900197,2019,8507
Canada,Croatia,-98.14238137209708,61.46907614534896,16.566189771645533,45.01623399593114,2019,3361
